participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls0,local_symbol_cls1,local_symbol_cls2,local_symbol_cls3,correct_symbol_cls,correct_local_cls,participant_linspace,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,0.2040935,0.21146114,0.14337455,0.17671694,c,s,m,y,s,1,0.04389086595492289,943,1101.0,1
Jupiter,0.11802971,0.17143452,0.064061254,0.16908419,f,y,j,c,y,1,0.04448398576512456,988,1101.0,1
Jupiter,0.26039603,0.15965104,0.15105636,0.13440126,s,y,f,m,s,0,0.045077105575326216,1050,1101.0,0
Jupiter,0.11600858,0.19421394,0.109127395,0.18245047,f,s,j,y,f,0,0.045670225385527875,789,1101.0,0
Jupiter,0.18475579,0.113766454,0.14506303,0.25536713,s,j,y,m,y,2,0.046263345195729534,1613,1101.0,0
Jupiter,0.15906394,0.1804575,0.14187957,0.13449693,c,f,j,m,f,1,0.0468564650059312,812,1101.0,2
Jupiter,0.16153711,0.06609425,0.26013124,0.12176059,y,j,s,f,j,1,0.04744958481613286,1347,1101.0,0
Jupiter,0.20854245,0.05688682,0.2765631,0.14716668,m,j,s,y,s,2,0.04804270462633452,2039,1101.0,2
Jupiter,0.20195673,0.24578208,0.23863797,0.116973974,c,y,s,j,c,0,0.04863582443653618,1905,1101.0,0
Jupiter,0.08994566,0.17673507,0.17096181,0.13887963,m,c,s,f,f,3,0.04922894424673784,816,1101.0,2
Jupiter,0.13323799,0.15029699,0.24179235,0.14935349,y,s,c,f,s,1,0.0498220640569395,831,1101.0,1
Jupiter,0.14461721,0.25446963,0.12461485,0.2511789,y,c,f,s,y,0,0.05041518386714116,748,1175.0,0
Jupiter,0.15330476,0.19805546,0.18255208,0.13329738,f,c,y,j,j,3,0.051008303677342826,976,1175.0,3
Jupiter,0.18134943,0.112123296,0.10592455,0.24784195,m,f,j,c,c,3,0.051601423487544484,801,1175.0,3
Jupiter,0.2220707,0.2826043,0.1768523,0.13826281,f,s,y,j,j,3,0.05219454329774614,999,1175.0,2
Jupiter,0.17362478,0.14805233,0.28670657,0.19409452,c,f,s,y,y,3,0.0527876631079478,840,1175.0,3
Jupiter,0.15392345,0.19289091,0.044405572,0.13200311,y,c,j,f,c,1,0.05338078291814947,863,1175.0,3
Jupiter,0.18845756,0.19277462,0.14423707,0.08000732,f,m,c,j,m,1,0.05397390272835113,688,1175.0,2
Jupiter,0.1812797,0.23490053,0.21961378,0.09660365,f,c,s,j,j,3,0.054567022538552785,1278,1175.0,3
Jupiter,0.18745498,0.22863707,0.13573897,0.12908258,m,s,j,y,m,0,0.05516014234875445,718,1175.0,2
Jupiter,0.14287215,0.101570636,0.16809005,0.23627764,y,j,f,s,y,0,0.05575326215895611,1140,1175.0,2
Jupiter,0.11573223,0.16378146,0.15724851,0.11652035,j,c,f,y,j,0,0.05634638196915777,943,1175.0,1
Jupiter,0.16486281,0.13417397,0.1769786,0.10399035,y,f,s,j,y,0,0.05693950177935943,1027,1175.0,2
Jupiter,0.20079815,0.12397522,0.19428398,0.16606142,c,y,m,s,c,0,0.05753262158956109,805,1175.0,1
Jupiter,0.178538,0.1480214,0.06818821,0.16391933,y,m,j,c,y,0,0.05812574139976275,1043,1175.0,0
Jupiter,0.16312464,0.22514725,0.14206871,0.089391686,f,s,c,j,j,3,0.05871886120996441,872,1175.0,1
Jupiter,0.06607894,0.14749213,0.22838102,0.08221382,j,f,s,m,f,1,0.05931198102016608,1112,1175.0,0
Jupiter,0.18207033,0.19258422,0.13823436,0.16602172,s,c,f,y,s,0,0.059905100830367736,1194,1175.0,2
Jupiter,0.167054,0.117129356,0.099249706,0.19784258,c,y,j,m,c,0,0.060498220640569395,735,1175.0,0
Jupiter,0.1369529,0.07268189,0.11078025,0.18234825,m,f,j,s,f,1,0.06109134045077105,995,1175.0,0
Jupiter,0.068808466,0.19691189,0.16325532,0.15917367,j,s,c,y,j,0,0.06168446026097272,836,1175.0,2
Jupiter,0.22045381,0.16578662,0.1565989,0.104224496,c,m,y,j,y,2,0.06227758007117438,1011,1175.0,2
Jupiter,0.06788216,0.24319695,0.21760142,0.123853296,j,s,f,c,c,3,0.06287069988137604,1301,1175.0,2
Jupiter,0.13538915,0.15137899,0.09068221,0.14453344,f,c,j,y,c,1,0.0634638196915777,2679,1175.0,1
Jupiter,0.09924188,0.11937556,0.16933772,0.20355174,m,y,c,s,c,2,0.06405693950177936,959,1175.0,1
Jupiter,0.20511456,0.14734425,0.16514638,0.13432123,s,j,y,f,f,3,0.06465005931198102,1068,1175.0,2
Jupiter,0.21312086,0.26069054,0.13118622,0.06359669,y,c,s,j,y,0,0.06524317912218268,1075,1175.0,2
Jupiter,0.17359912,0.117164366,0.08551796,0.1458249,m,s,f,y,s,1,0.06583629893238434,835,1175.0,1
Jupiter,0.18755908,0.21403217,0.15714256,0.10064745,s,f,m,y,s,0,0.066429418742586,931,1175.0,1
Jupiter,0.18860202,0.1573026,0.20999745,0.19781756,f,j,s,c,c,3,0.06702253855278767,816,1175.0,0
Jupiter,0.17487463,0.16557999,0.15694277,0.12146453,c,m,s,y,y,3,0.06761565836298933,1066,1175.0,3
Jupiter,0.20079815,0.19987403,0.19163978,0.13597533,c,s,y,m,y,2,0.06820877817319099,987,1175.0,3
Jupiter,0.105134554,0.15407474,0.1911602,0.16099127,j,y,f,m,y,1,0.06880189798339265,1369,1175.0,3
Jupiter,0.12951961,0.1426111,0.23582122,0.16800034,y,f,s,c,c,3,0.0693950177935943,871,1175.0,0
Jupiter,0.13285159,0.12615514,0.15451805,0.25398004,j,f,c,s,c,2,0.06998813760379596,1172,1175.0,0
Jupiter,0.15376025,0.16324061,0.10737857,0.11826605,m,c,y,j,c,1,0.07058125741399762,2410,1175.0,1
Jupiter,0.14963736,0.1077925,0.24841313,0.17079487,f,j,s,c,s,2,0.0711743772241993,1030,1175.0,0
Jupiter,0.17022121,0.19800483,0.24682559,0.116782345,f,c,s,y,c,1,0.07176749703440095,1310,1175.0,2
Jupiter,0.117193766,0.20919241,0.20424607,0.16854304,f,y,c,s,c,2,0.07236061684460261,1366,1175.0,0
Jupiter,0.12993291,0.23430622,0.1741975,0.19626944,f,c,m,y,f,0,0.07295373665480427,1249,1175.0,3
Jupiter,0.14826025,0.38620105,0.16106036,0.114343554,c,s,y,f,c,0,0.07354685646500593,3327,1175.0,1
Jupiter,0.2691933,0.18912409,0.09581021,0.13565488,s,c,f,m,s,0,0.07413997627520759,1133,1175.0,1
Jupiter,0.07035627,0.13302979,0.119593464,0.11496881,j,c,f,m,m,3,0.07473309608540925,2940,1175.0,2
Jupiter,0.22433066,0.18503526,0.10163754,0.14243823,c,s,f,m,c,0,0.0753262158956109,1021,1175.0,2
Jupiter,0.10098915,0.21309586,0.14018388,0.17638774,f,s,j,m,j,2,0.07591933570581258,1236,1175.0,1
Jupiter,0.10803353,0.20851497,0.17355818,0.23443408,j,s,f,c,f,2,0.07651245551601424,943,1175.0,1
Jupiter,0.23400237,0.21614425,0.12266438,0.17126319,c,s,y,m,y,2,0.0771055753262159,1374,1175.0,1
Jupiter,0.1430938,0.17370792,0.14273709,0.11462272,y,s,j,c,y,0,0.07769869513641756,2821,1433.0,1
Jupiter,0.10868505,0.16680767,0.24307692,0.12970157,j,c,m,f,c,1,0.07829181494661921,2342,1433.0,2
Jupiter,0.20794912,0.19530562,0.12352098,0.22186966,c,y,f,m,f,2,0.07888493475682087,1301,1433.0,2
Jupiter,0.14902242,0.21950154,0.15770714,0.119668186,j,c,f,m,c,1,0.07947805456702253,1366,1433.0,1
Jupiter,0.117252216,0.22066422,0.11901918,0.23343086,f,s,j,y,s,1,0.0800711743772242,974,1433.0,1
Jupiter,0.18452036,0.071564876,0.17790553,0.15563132,c,m,s,y,s,2,0.08066429418742586,1028,1433.0,0
Jupiter,0.103057474,0.14739175,0.1911621,0.0662193,f,y,c,j,y,1,0.08125741399762752,3959,1433.0,2
Jupiter,0.14332795,0.14710355,0.14336702,0.18395829,y,m,j,c,m,1,0.08185053380782918,995,1433.0,2
Jupiter,0.21268445,0.13195528,0.18457977,0.20033419,m,f,c,y,c,2,0.08244365361803084,1227,1433.0,1
Jupiter,0.17818284,0.21045823,0.12322772,0.07486776,c,f,y,j,f,1,0.0830367734282325,869,1433.0,2
Jupiter,0.21667667,0.19283465,0.20489728,0.2524888,f,s,c,y,c,2,0.08362989323843416,2999,1433.0,0
Jupiter,0.22445573,0.12394959,0.19900616,0.124326296,c,y,s,m,s,2,0.08422301304863583,884,1433.0,2
Jupiter,0.16728942,0.21688269,0.048631027,0.17079487,y,s,j,c,y,0,0.08481613285883749,931,1433.0,1
Jupiter,0.12493404,0.11118791,0.12376481,0.104064755,y,f,m,j,m,2,0.08540925266903915,1295,1433.0,2
Jupiter,0.22437192,0.14346926,0.20101637,0.18207033,y,j,f,s,f,2,0.08600237247924081,1381,1433.0,3
Jupiter,0.2182129,0.117275044,0.1482862,0.11959253,c,f,s,j,j,3,0.08659549228944247,1080,1433.0,2
Jupiter,0.23648584,0.07518195,0.105971776,0.16704807,s,f,j,m,f,1,0.08718861209964412,1535,1433.0,2
Jupiter,0.11317903,0.12536015,0.1623959,0.16379426,y,f,c,s,f,1,0.08778173190984578,1377,1433.0,2
Jupiter,0.090030074,0.24930285,0.13887243,0.14703164,j,s,m,f,f,3,0.08837485172004746,1254,1433.0,3
Jupiter,0.08675658,0.15101697,0.13498431,0.109683566,c,y,f,j,y,1,0.08896797153024912,1134,1433.0,0
Jupiter,0.16574192,0.12845358,0.15163223,0.10957539,c,s,f,m,f,2,0.08956109134045077,851,1433.0,2
Jupiter,0.20353925,0.06774429,0.17338341,0.12699643,c,j,s,f,s,2,0.09015421115065243,1041,1433.0,2
Jupiter,0.09152287,0.10851466,0.13000639,0.17227298,j,f,m,c,f,1,0.09074733096085409,1155,1433.0,1
Jupiter,0.16641471,0.15723726,0.16120042,0.097273596,j,s,f,y,y,3,0.09134045077105575,1238,1433.0,2
Jupiter,0.2040935,0.25043237,0.1659292,0.12729248,c,m,f,y,y,3,0.09193357058125741,1053,1433.0,0
Jupiter,0.08026055,0.097248904,0.21281858,0.13878739,j,m,c,y,c,2,0.09252669039145907,1969,1433.0,0
Jupiter,0.104728155,0.13718487,0.13784233,0.06948186,m,s,f,j,j,3,0.09311981020166074,1021,1433.0,1
Jupiter,0.1919052,0.16843738,0.10730792,0.15061338,y,c,m,f,m,2,0.0937129300118624,967,1433.0,2
Jupiter,0.15106791,0.058888875,0.10660234,0.28938013,c,j,y,s,c,0,0.09430604982206406,1226,1433.0,2
Jupiter,0.12482338,0.14161979,0.06936712,0.18503684,c,s,j,m,s,1,0.09489916963226572,1907,1433.0,2
Jupiter,0.22480772,0.20193672,0.11893101,0.20025103,m,c,f,s,f,2,0.09549228944246738,880,1433.0,2
Jupiter,0.07086366,0.22391988,0.18207033,0.14662427,j,f,s,y,j,0,0.09608540925266904,1367,1433.0,1
Jupiter,0.22779924,0.1310693,0.1341349,0.14467692,c,j,f,m,c,0,0.0966785290628707,1098,1433.0,1
Jupiter,0.2054481,0.16862807,0.15842368,0.09136436,c,s,m,j,m,2,0.09727164887307237,886,1433.0,2
Jupiter,0.23179708,0.16867308,0.1838426,0.08450693,f,m,c,j,j,3,0.09786476868327403,991,1433.0,2
Jupiter,0.09667085,0.21586385,0.14544317,0.14121522,j,c,m,y,m,2,0.09845788849347568,1247,1433.0,1
Jupiter,0.20705594,0.17582251,0.1636833,0.16376646,f,y,s,c,y,1,0.09905100830367734,1897,1433.0,0
Jupiter,0.17823848,0.15317783,0.17350627,0.10371618,c,f,s,j,f,1,0.099644128113879,3547,1433.0,1
Jupiter,0.1665732,0.1062328,0.15371741,0.20276767,y,j,f,m,m,3,0.10023724792408066,1017,1433.0,1
Jupiter,0.13733555,0.06609425,0.12035345,0.17070298,m,j,f,s,s,3,0.10083036773428232,1230,1433.0,2
Jupiter,0.18247172,0.093927264,0.11550713,0.1968203,y,j,c,s,j,1,0.10142348754448399,2661,1166.0,1
Jupiter,0.16711341,0.16538489,0.19923031,0.22863707,f,m,c,s,m,1,0.10201660735468565,663,1166.0,2
Jupiter,0.19256765,0.19828244,0.2677815,0.1446516,c,y,m,j,j,3,0.10260972716488731,871,1166.0,0
Jupiter,0.17156895,0.20663986,0.11343006,0.16074678,f,c,m,s,c,1,0.10320284697508897,1079,1166.0,0
Jupiter,0.059487548,0.17152704,0.08018302,0.15852185,j,c,f,m,j,0,0.10379596678529063,919,1166.0,1
Jupiter,0.17860489,0.15717381,0.12352379,0.12805404,c,m,f,y,f,2,0.10438908659549229,746,1166.0,2
Jupiter,0.046541117,0.14120835,0.07748443,0.2145949,j,f,y,s,y,2,0.10498220640569395,879,1166.0,2
Jupiter,0.22916949,0.13565177,0.22408776,0.16076024,j,f,c,m,m,3,0.1055753262158956,1071,1166.0,3
Jupiter,0.12664378,0.07026936,0.13337055,0.24013638,c,j,y,s,y,2,0.10616844602609728,934,1166.0,0
Jupiter,0.09196085,0.10291555,0.16521703,0.14288811,f,y,s,j,s,2,0.10676156583629894,1019,1166.0,1
Jupiter,0.14713728,0.1478038,0.1573026,0.13281219,s,f,j,c,c,3,0.1073546856465006,1109,1166.0,0
Jupiter,0.20511456,0.13500494,0.2855392,0.13958022,s,c,y,f,s,0,0.10794780545670225,741,1166.0,2
Jupiter,0.2531544,0.13616261,0.1121089,0.15770714,s,m,y,f,f,3,0.10854092526690391,1125,1166.0,2
Jupiter,0.10491291,0.23243923,0.12177464,0.15908456,f,m,j,y,m,1,0.10913404507710557,1154,1166.0,1
Jupiter,0.15137899,0.16746293,0.101307094,0.1262211,c,s,f,y,s,1,0.10972716488730723,901,1166.0,2
Jupiter,0.09465161,0.23965211,0.32413593,0.13028368,y,s,m,c,c,3,0.1103202846975089,1818,1166.0,3
Jupiter,0.1471251,0.18239076,0.121786214,0.19688283,j,m,y,s,m,1,0.11091340450771056,600,1166.0,2
Jupiter,0.092712715,0.19407043,0.17137513,0.14811769,j,c,f,m,m,3,0.11150652431791222,1245,1166.0,1
Jupiter,0.23787732,0.28226042,0.123397164,0.10549469,c,s,f,y,s,1,0.11209964412811388,1101,1166.0,0
Jupiter,0.122418664,0.11665885,0.15727477,0.19939727,f,y,s,c,f,0,0.11269276393831554,1701,1166.0,0
Jupiter,0.25151342,0.090768814,0.15326881,0.12682573,s,j,m,c,s,0,0.1132858837485172,1428,1166.0,2
Jupiter,0.18516657,0.22606197,0.1688588,0.18635017,f,m,y,s,m,1,0.11387900355871886,968,1166.0,0
Jupiter,0.14226723,0.11108943,0.1663678,0.062325243,y,f,m,j,y,0,0.11447212336892053,1072,1166.0,1
Jupiter,0.13145009,0.16564813,0.102204636,0.14121398,j,y,f,c,y,1,0.11506524317912219,888,1166.0,2
Jupiter,0.21408284,0.13916722,0.14932193,0.20295714,c,y,j,s,j,2,0.11565836298932385,1543,1166.0,1
Jupiter,0.09019171,0.120378464,0.17219701,0.14828493,f,y,c,j,y,1,0.1162514827995255,886,1166.0,0
Jupiter,0.11029286,0.17408837,0.21829514,0.23261523,j,y,m,c,c,3,0.11684460260972716,1236,1166.0,1
Jupiter,0.16905919,0.1390103,0.20591018,0.103355095,f,y,c,j,j,3,0.11743772241992882,1047,1166.0,0
Jupiter,0.11023223,0.15034983,0.091174915,0.12227641,y,f,j,m,m,3,0.11803084223013048,1817,1166.0,1
Jupiter,0.22531794,0.12063357,0.25216648,0.079493366,y,f,s,j,f,1,0.11862396204033215,994,1166.0,1
Jupiter,0.2265353,0.11116165,0.1794321,0.20654543,m,f,c,s,m,0,0.11921708185053381,925,1166.0,0
Jupiter,0.22376859,0.06445923,0.16663633,0.17650749,c,j,m,s,s,3,0.11981020166073547,1035,1166.0,0
Jupiter,0.099832125,0.20990491,0.18885803,0.19916685,j,c,m,f,c,1,0.12040332147093713,879,1166.0,1
Jupiter,0.17809531,0.16022816,0.17790991,0.16719563,m,f,y,j,j,3,0.12099644128113879,909,1166.0,1
Jupiter,0.15268546,0.10142027,0.17685479,0.1429331,f,y,s,c,s,2,0.12158956109134045,1002,1166.0,2
Jupiter,0.09376814,0.09259142,0.22480772,0.14226285,j,f,m,s,m,2,0.1221826809015421,836,1166.0,2
Jupiter,0.24312133,0.09580833,0.12999073,0.19676527,y,f,c,s,c,2,0.12277580071174377,766,1166.0,1
Jupiter,0.20811296,0.22236301,0.23019113,0.21813507,s,c,f,m,f,2,0.12336892052194544,1105,1166.0,1
