participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls00,local_symbol_cls01,local_symbol_cls02,local_symbol_cls03,local_symbol_cls04,local_symbol_cls05,local_symbol_cls10,local_symbol_cls11,local_symbol_cls12,local_symbol_cls13,local_symbol_cls14,local_symbol_cls15,local_symbol_cls20,local_symbol_cls21,local_symbol_cls22,local_symbol_cls23,local_symbol_cls24,local_symbol_cls25,local_symbol_cls30,local_symbol_cls31,local_symbol_cls32,local_symbol_cls33,local_symbol_cls34,local_symbol_cls35,correct_symbol_cls0,correct_symbol_cls1,correct_symbol_cls2,correct_symbol_cls3,correct_symbol_cls4,correct_symbol_cls5,correct_local_cls,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,38.88911033163265,30.248007015306122,45.49633290816327,20.389110331632654,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,718,1101.0,2
Jupiter,53.632892219387756,37.439333545918366,24.792410714285715,29.599489795918366,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1013,1101.0,1
Jupiter,26.985889668367346,43.574298469387756,45.029575892857146,47.90186543367347,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,722,1101.0,2
Jupiter,37.02168367346939,56.99234693877551,30.731505102040817,46.98190369897959,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,648,1101.0,0
Jupiter,42.492107780612244,46.036989795918366,39.84502551020408,36.81265943877551,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1059,1101.0,2
Jupiter,44.203125,23.144610969387756,42.613600127551024,32.42825255102041,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2298,1101.0,0
Jupiter,30.504384566326532,53.12611607142857,30.989716198979593,48.733816964285715,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,793,1101.0,2
Jupiter,50.99418048469388,45.94419642857143,39.3469387755102,50.603794642857146,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1034,1101.0,1
Jupiter,51.81074617346939,53.0,53.367745535714285,43.16533801020408,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,763,1101.0,0
Jupiter,55.278300382653065,36.69092793367347,17.042889030612244,38.50932716836735,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,936,1101.0,0
Jupiter,41.949139030612244,66.2118144132653,45.67107780612245,39.728156887755105,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,890,1101.0,2
Jupiter,27.089365433673468,30.165816326530614,36.220344387755105,53.053491709183675,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,592,1101.0,2
Jupiter,66.23700573979592,50.2727200255102,37.18510841836735,36.26068239795919,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,617,1101.0,2
Jupiter,36.58314732142857,35.073022959183675,51.750079719387756,33.16908482142857,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,956,1101.0,3
Jupiter,49.964764030612244,39.98852040816327,19.10969387755102,41.57772640306123,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,937,1101.0,1
