participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls0,local_symbol_cls1,local_symbol_cls2,local_symbol_cls3,correct_symbol_cls,correct_local_cls,participant_linspace,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,30.504384566326532,53.12611607142857,30.989716198979593,48.733816964285715,j,s,y,m,j,0,0.03202846975088968,793,1101.0,2
Jupiter,50.99418048469388,45.94419642857143,39.3469387755102,50.603794642857146,f,m,j,s,m,1,0.03262158956109134,1034,1101.0,1
Jupiter,51.81074617346939,53.0,53.367745535714285,43.16533801020408,c,m,f,j,c,0,0.033214709371293,763,1101.0,0
Jupiter,55.278300382653065,36.69092793367347,17.042889030612244,38.50932716836735,m,f,j,y,m,0,0.033807829181494664,936,1101.0,0
Jupiter,41.949139030612244,66.2118144132653,45.67107780612245,39.728156887755105,m,y,s,c,s,2,0.03440094899169632,890,1101.0,2
Jupiter,27.089365433673468,30.165816326530614,36.220344387755105,53.053491709183675,j,f,c,m,f,1,0.03499406880189798,592,1101.0,2
Jupiter,66.23700573979592,50.2727200255102,37.18510841836735,36.26068239795919,s,f,c,m,m,3,0.03558718861209965,617,1101.0,2
Jupiter,36.58314732142857,35.073022959183675,51.750079719387756,33.16908482142857,j,m,c,f,c,2,0.036180308422301306,956,1101.0,3
Jupiter,49.964764030612244,39.98852040816327,19.10969387755102,41.57772640306123,c,s,f,m,m,3,0.036773428232502965,937,1101.0,1
Jupiter,30.967394770408163,43.39883609693877,67.60865752551021,38.42729591836735,s,y,m,f,f,3,0.037366548042704624,824,1101.0,0
Jupiter,64.6983418367347,65.80707908163265,28.22560586734694,20.6273118622449,c,s,f,m,m,3,0.03795966785290629,1817,1101.0,2
Jupiter,37.226482780612244,54.877311862244895,29.079799107142858,52.30054209183673,y,f,j,s,f,1,0.03855278766310795,702,1101.0,0
Jupiter,42.36280293367347,82.12324617346938,45.29097576530612,27.760921556122447,m,s,y,c,y,2,0.03914590747330961,1156,1101.0,3
Jupiter,63.59327168367347,31.291055484693878,29.662547831632654,32.7610012755102,c,y,f,j,f,2,0.039739027283511266,942,1101.0,1
Jupiter,40.45727040816327,12.044882015306122,34.852120535714285,40.95376275510204,m,j,f,c,j,1,0.04033214709371293,2461,1101.0,1
Jupiter,40.14995216836735,45.80715880102041,62.73190369897959,31.423070790816325,m,f,c,y,f,1,0.04092526690391459,821,1101.0,1
Jupiter,27.812739158163264,48.75151466836735,24.303491709183675,46.696906887755105,m,c,j,s,m,0,0.04151838671411625,1064,1101.0,1
Jupiter,15.974728954081632,40.32724808673469,43.85698341836735,53.29711415816327,m,f,s,c,s,2,0.042111506524317915,760,1101.0,1
Jupiter,31.186304209183675,31.235889668367346,46.16031568877551,27.134486607142858,f,j,s,y,s,2,0.042704626334519574,2270,1101.0,2
Jupiter,45.23812181122449,20.6273118622449,46.24242665816327,49.340800382653065,y,m,f,s,y,0,0.04329774614472123,831,1101.0,2
Jupiter,52.04384566326531,53.9225924744898,36.56050701530612,45.062818877551024,c,s,m,y,s,1,0.04389086595492289,943,1101.0,1
Jupiter,30.097576530612244,43.715800382653065,16.33561862244898,43.1164700255102,f,y,j,c,y,1,0.04448398576512456,988,1101.0,1
Jupiter,66.40098852040816,40.711017219387756,38.51937181122449,34.27232142857143,s,y,f,m,s,0,0.045077105575326216,1050,1101.0,0
Jupiter,29.582190688775512,49.52455357142857,27.82748724489796,46.52487244897959,f,s,j,y,f,0,0.045670225385527875,789,1101.0,0
Jupiter,47.112723214285715,29.01044323979592,36.99107142857143,65.1186224489796,s,j,y,m,y,2,0.046263345195729534,1613,1101.0,0
Jupiter,40.561304209183675,46.01666135204081,36.17928890306123,34.29671556122449,c,f,j,m,f,1,0.0468564650059312,812,1101.0,2
Jupiter,41.191964285714285,16.854033801020407,66.3334661989796,31.048947704081634,y,j,s,f,j,1,0.04744958481613286,1347,1101.0,0
