participant_id,x1_linspace,x1_brightness,x1_symbol_m,x1_symbol_c,x1_symbol_s,x1_symbol_y,x1_symbol_f,x1_symbol_j,x1_location_0,x1_location_1,x1_location_2,x1_location_3,x2_linspace,x2_brightness,x2_symbol_m,x2_symbol_c,x2_symbol_s,x2_symbol_y,x2_symbol_f,x2_symbol_j,x2_location_0,x2_location_1,x2_location_2,x2_location_3
Jupiter,0.0166073546856465,0.12255184,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0166073546856465,0.23490053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0166073546856465,0.12255184,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0166073546856465,0.19666868,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0166073546856465,0.12255184,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0166073546856465,0.13912347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0172004744958481,0.19293906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0172004744958481,0.138743,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0172004744958481,0.19293906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0172004744958481,0.13094237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0172004744958481,0.19293906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0172004744958481,0.12688918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jupiter,0.0177935943060498,0.17352128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0177935943060498,0.078299135,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jupiter,0.0177935943060498,0.17352128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0177935943060498,0.11310994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0177935943060498,0.17352128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0177935943060498,0.178548,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0183867141162514,0.20355019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0183867141162514,0.14412609,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0183867141162514,0.20355019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0183867141162514,0.20763648,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0183867141162514,0.20355019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0183867141162514,0.17567433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0189798339264531,0.14757434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0189798339264531,0.2188341,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0189798339264531,0.14757434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0189798339264531,0.19497174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
